Pianist,KnotIndex,X,Y,Z,Velocity,RubatoDevS
Gieseking,129,46.6668,80.1312,258.0,0.3858,47.3667
Gieseking,130,-184.8417,12.1863,260.0,0.3307,47.5833
Gieseking,131,62.2254,46.1598,262.0,0.3622,47.95
Gieseking,132,-150.4778,89.5941,264.0,0.3386,48.1167
Gieseking,133,68.68,10.0467,266.0,0.3465,48.5333
Gieseking,134,-161.903,79.6893,268.0,0.3465,48.75
Gieseking,135,-168.23,-64.3366,270.0,0.3228,48.8167
Gieseking,136,10.7839,108.9723,272.0,0.3465,49.1833
Gieseking,137,-75.1727,-128.3607,274.0,0.3386,49.55
Gieseking,138,-102.5709,120.0599,276.0,0.3228,49.9167
Gieseking,139,31.6574,-89.1692,278.0,0.3228,50.2833
Gieseking,140,-189.9871,42.1021,280.0,0.378,50.65
Gieseking,141,67.504,18.6416,282.0,0.3228,51.0167
Gieseking,142,-172.3304,-77.4416,284.0,0.3701,51.3833
Gieseking,143,-45.3798,133.8385,286.0,0.3543,51.8
Gieseking,144,72.062,-59.1647,288.0,0.4173,52.2667
Gieseking,145,-193.298,-4.9626,290.0,0.3386,52.6333
Gieseking,146,70.2405,70.4117,292.0,0.4331,53.0
Gieseking,147,-137.0392,-108.6523,294.0,0.3307,53.3667
Gieseking,148,-93.9843,137.8935,296.0,0.3858,53.7833
Gieseking,149,72.8635,-9.416,298.0,0.3228,54.25
Gieseking,150,-188.1424,-52.3228,300.0,0.3543,54.6167
Gieseking,151,51.3509,-82.4085,302.0,0.3465,55.5833
Gieseking,152,-47.3865,138.0692,304.0,0.3386,56.55
Gieseking,153,-163.6505,-94.2817,306.0,0.3465,56.7667
Gieseking,154,-183.4863,-60.401,308.0,0.3228,57.4333
Gieseking,155,-158.7143,-113.4899,310.0,0.4094,57.4
Gieseking,156,-188.9417,93.6721,312.0,0.4646,57.9167
Gieseking,157,62.614,-78.568,314.0,0.3701,58.2333
Gieseking,158,66.3192,92.1277,316.0,0.4409,58.3
Gieseking,159,-201.5794,15.8455,318.0,0.3465,58.5167
Gieseking,160,-127.7558,-129.4343,320.0,0.3701,58.5833
Gieseking,161,79.8856,50.5795,322.0,0.3858,58.8
Gieseking,162,-160.1285,-104.2078,324.0,0.3543,59.1667
Gieseking,163,85.6915,9.3028,326.0,0.3622,59.3833
Gieseking,164,-14.0663,144.8757,328.0,0.4016,59.45
Gieseking,165,25.7397,127.995,330.0,0.4094,60.1167
Gieseking,166,-213.4048,-37.3763,332.0,0.4331,60.3333
Gieseking,167,-80.2973,-153.0989,334.0,0.4094,60.4
Gieseking,168,93.782,-15.8343,336.0,0.4094,60.5167
Gieseking,169,60.3276,100.816,338.0,0.4252,60.5333
Gieseking,170,-210.037,6.6355,340.0,0.378,60.75
Gieseking,171,-125.3497,-148.3262,342.0,0.4567,60.8167
Gieseking,172,81.0748,62.023,344.0,0.4016,61.0333
Gieseking,173,-154.0651,-112.0918,346.0,0.3465,61.4
Gieseking,174,87.707,19.4648,348.0,0.3622,61.6167
Gieseking,175,-23.1956,150.5453,350.0,0.4016,61.6833
Gieseking,176,-26.0224,-152.9226,352.0,0.4094,62.05
Gieseking,177,98.8871,40.2051,354.0,0.4567,62.1667
Gieseking,178,-217.8004,-49.8956,356.0,0.4646,62.4833
Gieseking,179,89.4983,57.0674,358.0,0.4252,62.8
Gieseking,180,-122.3749,150.0941,360.0,0.4409,62.9167
Gieseking,181,12.2481,-148.7038,362.0,0.4567,63.2333
Gieseking,182,58.1956,-103.3587,364.0,0.4016,63.2
Gieseking,183,-78.9392,170.4282,366.0,0.4961,63.4167
Gieseking,184,-148.7828,-121.533,368.0,0.3543,63.6333
Gieseking,185,33.2431,-145.767,370.0,0.5039,63.7
Gieseking,186,61.6407,82.9128,372.0,0.3307,63.8167
Gieseking,187,-190.0261,-100.2263,374.0,0.4409,64.1333
Gieseking,188,114.4608,-14.8476,376.0,0.5118,64.35
Gieseking,189,-171.6128,121.1852,378.0,0.4409,64.5667
Gieseking,190,-173.7613,-111.0872,380.0,0.4016,64.6833
Gieseking,191,83.0514,-55.1697,382.0,0.3622,64.85
Gieseking,192,-178.3682,101.6749,384.0,0.378,65.1167
Gieseking,193,-218.9562,-14.3962,386.0,0.4016,65.1333
Gieseking,194,66.2292,-96.2136,388.0,0.3937,65.35
Gieseking,195,-190.0236,87.5985,390.0,0.378,65.6667
Gieseking,196,87.2643,40.0508,392.0,0.3465,66.0833
Gieseking,197,-183.5545,-109.2322,394.0,0.4252,66.45
Gieseking,198,95.7339,-2.7478,396.0,0.3622,66.6667
Gieseking,199,-108.766,-142.3576,398.0,0.3228,67.1333
Gieseking,200,-48.8224,-159.4915,400.0,0.3858,67.1
Gieseking,201,92.788,-47.4015,402.0,0.3858,67.1667
Gieseking,202,-137.2209,132.2871,404.0,0.3386,67.3833
Gieseking,203,66.2278,-83.4264,406.0,0.3228,67.75
Gieseking,204,-216.4053,19.7494,408.0,0.3622,68.075
Gieseking,205,-54.1221,154.6294,410.0,0.3386,68.55
Gieseking,206,92.8278,7.589,412.0,0.3228,69.025
Gieseking,207,-213.6651,-16.6643,414.0,0.3307,69.3
Gieseking,208,-204.2451,-80.3109,416.0,0.4016,69.225
Gieseking,209,92.6288,25.6393,418.0,0.3307,69.45
Gieseking,210,33.9663,136.0716,420.0,0.4016,69.425
Gieseking,211,-219.1276,-36.3933,422.0,0.3858,69.6
Gieseking,212,-84.7523,-168.3791,424.0,0.4331,69.5
Gieseking,213,61.2197,98.6781,426.0,0.3386,69.7167
Gieseking,214,-226.9421,9.7516,428.0,0.4094,69.9333
